unique_id_1,unique_id_2,co_cluster_count
0,8,2
0,12,16
0,32,8
0,44,2
0,57,2
0,82,10
0,111,11
0,136,8
0,175,1
0,232,3
0,235,11
0,263,5
0,265,12
0,267,4
0,302,6
0,305,2
0,325,3
0,329,19
0,357,2
0,392,5
0,399,10
0,1000,5
0,1048,5
1,5,1
1,19,1
1,23,1
1,40,19
1,84,1
1,97,18
1,122,13
1,130,1
1,147,18
1,155,1
1,182,1
1,194,1
1,200,19
1,201,17
1,206,1
1,212,19
1,221,18
1,247,1
1,249,1
1,351,2
1,360,1
1,369,1
1,390,1
1,393,18
2,14,1
2,58,19
2,61,13
2,95,4
2,124,19
2,166,1
2,170,20
2,185,8
2,205,14
2,222,19
2,226,2
2,274,2
2,295,1
2,337,15
2,361,16
2,384,9
2,385,5
2,1023,1
3,8,4
3,11,2
3,17,3
3,34,1
3,53,3
3,126,3
3,136,1
3,153,17
3,160,2
3,162,17
3,173,2
3,180,19
3,199,2
3,254,3
3,263,2
3,265,1
3,297,16
3,305,4
3,312,15
3,314,16
3,325,4
3,335,3
3,354,3
3,358,14
3,371,16
3,377,3
3,388,3
3,1016,2
4,92,10
4,108,11
4,113,19
4,129,20
4,141,8
4,154,6
4,164,20
4,193,14
4,203,12
4,207,19
4,220,8
4,259,6
4,277,8
4,310,13
4,331,20
4,365,8
4,1026,18
4,1038,7
4,1039,10
5,23,20
5,84,18
5,97,2
5,122,8
5,147,1
5,155,20
5,182,20
5,206,15
5,221,1
5,360,20
5,369,20
5,390,20
5,393,1
6,16,15
6,49,17
6,51,7
6,54,7
6,59,13
6,71,13
6,83,7
6,89,13
6,96,12
6,104,13
6,140,1
6,158,13
6,159,11
6,187,10
6,231,10
6,261,12
6,270,8
6,293,7
6,296,9
6,308,1
6,313,7
6,322,12
6,352,13
7,15,1
7,31,1
7,33,20
7,38,2
7,66,20
7,87,14
7,94,20
7,101,20
7,106,18
7,135,2
7,150,4
7,156,18
7,157,8
7,161,20
7,189,20
7,218,14
7,284,18
7,334,1
7,382,1
7,1035,2
8,12,2
8,44,11
8,57,11
8,82,1
8,111,8
8,136,1
8,153,7
8,160,14
8,162,7
8,175,11
8,180,3
8,232,9
8,235,2
8,265,3
8,267,14
8,297,5
8,302,7
8,305,20
8,312,9
8,314,5
8,325,19
8,329,2
8,357,11
8,358,10
8,392,13
8,399,1
8,1016,13
9,22,4
9,25,5
9,27,1
9,39,20
9,41,16
9,76,12
9,103,9
9,112,1
9,121,11
9,127,3
9,128,19
9,132,19
9,211,2
9,236,3
9,242,1
9,280,20
9,318,3
9,347,5
9,366,20
9,391,19
9,1012,1
9,1041,11
10,15,10
10,28,9
10,31,10
10,38,9
10,43,18
10,79,17
10,80,18
10,110,16
10,116,16
10,135,9
10,150,9
10,157,10
10,179,4
10,214,18
10,266,19
10,287,16
10,320,19
10,334,10
10,382,17
10,1031,1
10,1035,1
11,17,18
11,34,17
11,53,18
11,103,1
11,109,5
11,112,4
11,126,18
11,173,19
11,180,2
11,199,19
11,254,18
11,257,1
11,335,18
11,354,18
11,364,6
11,371,5
11,377,18
11,388,18
12,32,5
12,44,1
12,57,1
12,82,6
12,111,9
12,136,12
12,175,1
12,232,2
12,235,7
12,263,9
12,265,16
12,267,3
12,297,1
12,302,4
12,305,2
12,314,1
12,325,3
12,329,17
12,357,1
12,392,4
12,399,6
12,1000,9
12,1048,9
13,20,1
13,28,11
13,64,4
13,86,16
13,110,3
13,114,19
13,125,1
13,151,9
13,171,1
13,179,14
13,202,1
13,208,17
13,234,13
13,278,6
13,279,1
13,287,2
13,289,7
13,304,20
13,316,1
13,321,5
13,344,16
13,362,14
13,376,6
13,387,15
13,398,5
13,1002,1
13,1031,14
14,61,7
14,95,15
14,138,3
14,170,1
14,185,12
14,188,3
14,222,1
14,226,18
14,244,14
14,274,18
14,295,18
14,385,13
14,1037,12
14,1046,3
15,28,5
15,31,20
15,33,1
15,38,19
15,43,12
15,66,1
15,79,8
15,80,9
15,87,7
15,94,1
15,101,1
15,106,1
15,110,11
15,116,7
15,135,19
15,150,16
15,156,3
15,157,10
15,161,1
15,179,1
15,189,1
15,214,12
15,218,6
15,266,11
15,284,1
15,287,12
15,320,11
15,334,20
15,382,10
15,1002,1
15,1031,1
16,49,14
16,51,9
16,54,11
16,59,8
16,71,8
16,83,11
16,89,8
16,96,16
16,104,8
16,140,1
16,158,8
16,159,6
16,187,14
16,231,14
16,261,7
16,270,6
16,293,9
16,296,13
16,308,1
16,313,11
16,322,9
16,352,8
17,34,15
17,53,20
17,109,3
17,112,2
17,126,20
17,173,17
17,180,4
17,199,17
17,254,20
17,335,20
17,354,20
17,364,4
17,371,6
17,377,20
17,388,20
18,21,8
18,29,4
18,37,15
18,45,2
18,48,8
18,52,3
18,63,9
18,72,10
18,139,14
18,163,17
18,176,15
18,192,8
18,197,8
18,209,1
18,255,12
18,286,8
18,300,3
18,306,8
18,338,7
18,380,7
18,1033,3
19,40,2
19,60,12
19,74,15
19,130,19
19,194,19
19,200,2
19,204,3
19,212,2
19,223,6
19,247,19
19,249,20
19,271,18
19,326,19
19,328,3
19,351,18
19,383,3
19,395,5
20,64,17
20,114,2
20,125,5
20,151,1
20,171,20
20,202,19
20,208,4
20,262,2
20,278,15
20,279,20
20,289,1
20,304,1
20,316,19
20,321,16
20,376,15
20,398,16
20,1002,18
21,29,5
21,36,2
21,37,10
21,45,5
21,48,20
21,52,4
21,63,19
21,72,14
21,139,2
21,163,11
21,176,3
21,192,20
21,197,20
21,209,4
21,255,8
21,286,20
21,300,4
21,301,2
21,306,20
21,339,1
21,380,7
22,39,4
22,41,5
22,47,15
22,76,5
22,103,8
22,109,12
22,112,10
22,121,12
22,128,4
22,132,5
22,143,16
22,257,15
22,280,4
22,327,14
22,350,16
22,364,8
22,366,4
22,379,16
22,381,15
22,391,4
22,1018,3
22,1041,3
23,84,18
23,97,2
23,122,8
23,147,1
23,155,20
23,182,20
23,206,15
23,221,1
23,360,20
23,369,20
23,390,20
23,393,1
24,29,4
24,35,10
24,36,18
24,45,6
24,52,5
24,59,2
24,71,2
24,77,8
24,89,2
24,104,1
24,140,5
24,158,2
24,159,3
24,172,15
24,209,7
24,225,7
24,228,20
24,261,3
24,282,20
24,300,5
24,301,18
24,308,6
24,319,1
24,322,1
24,349,8
24,352,2
24,380,1
25,34,1
25,39,5
25,41,7
25,76,10
25,103,5
25,112,2
25,121,2
25,127,16
25,128,4
25,132,5
25,211,15
25,236,16
25,280,5
25,318,16
25,347,19
25,366,5
25,391,4
25,1041,13
26,78,20
26,85,20
26,100,1
26,131,3
26,233,1
26,240,1
26,268,2
26,291,3
26,298,20
26,299,20
26,324,1
26,330,3
26,342,20
26,396,20
27,39,1
27,127,1
27,128,1
27,191,19
27,211,1
27,213,19
27,217,15
27,236,1
27,237,2
27,242,20
27,280,1
27,288,18
27,292,3
27,318,1
27,323,18
27,348,19
27,366,1
27,391,1
27,1012,13
28,31,5
28,38,4
28,43,8
28,64,2
28,79,7
28,80,7
28,86,9
28,110,12
28,114,10
28,116,7
